Rest. Name,City,Country,Excellent Count,Good Count,Avg. Count,Poor Count,Terrible Count
Indian Room,London Restaurants,England,"1,522",115,35,27,28
Nora Cafe,London Restaurants,England,188,6,0,0,0
Vine Bar London,London Restaurants,England,90,1,0,0,5
Indian Room,London Restaurants,England,"1,522",115,35,27,28
Vine Bar London,London Restaurants,England,90,1,0,0,5
Vine Bar London,London Restaurants,England,90,1,0,0,5
Tower Tandoori,London Restaurants,England,"1,136",115,39,29,47
Indian Room,London Restaurants,England,"1,522",115,35,27,28
Indian Room,London Restaurants,England,"1,522",115,35,27,28
Indian Room,London Restaurants,England,"1,522",115,35,27,28
Indian Room,London Restaurants,England,"1,522",115,35,27,28
Nora Cafe,London Restaurants,England,188,6,0,0,0
Indian Room,London Restaurants,England,"1,522",115,35,27,28
Nora Cafe,London Restaurants,England,188,6,0,0,0
Cafe de Provence,London Restaurants,England,285,15,5,0,2
Cafe de Provence,London Restaurants,England,285,15,5,0,2
Cafe de Provence,London Restaurants,England,285,15,5,0,2
The Hampshire,London Restaurants,England,122,5,0,1,0
Cafe de Provence,London Restaurants,England,285,15,5,0,2
The Hampshire,London Restaurants,England,122,5,0,1,0
Cafe de Provence,London Restaurants,England,285,15,5,0,2
Cafe de Provence,London Restaurants,England,285,15,5,0,2
The Hampshire,London Restaurants,England,122,5,0,1,0
Cafe de Provence,London Restaurants,England,285,15,5,0,2
Ô Gourmet Libanais,London Restaurants,England,108,2,2,0,0
The Hampshire,London Restaurants,England,122,5,0,1,0
The Hampshire,London Restaurants,England,122,5,0,1,0
The Hampshire,London Restaurants,England,122,5,0,1,0
Ô Gourmet Libanais,London Restaurants,England,108,2,2,0,0
Ô Gourmet Libanais,London Restaurants,England,108,2,2,0,0
The Prince of Wales,London Restaurants,England,767,100,11,10,3
The Hampshire,London Restaurants,England,122,5,0,1,0
Ô Gourmet Libanais,London Restaurants,England,108,2,2,0,0
Ô Gourmet Libanais,London Restaurants,England,108,2,2,0,0
Ô Gourmet Libanais,London Restaurants,England,108,2,2,0,0
The Prince of Wales,London Restaurants,England,767,100,11,10,3
Ô Gourmet Libanais,London Restaurants,England,108,2,2,0,0
The Prince of Wales,London Restaurants,England,767,100,11,10,3
The Prince of Wales,London Restaurants,England,767,100,11,10,3
The Prince of Wales,London Restaurants,England,767,100,11,10,3
Dobar,London Restaurants,England,318,10,7,1,3
The Prince of Wales,London Restaurants,England,767,100,11,10,3
The Prince of Wales,London Restaurants,England,767,100,11,10,3
Dobar,London Restaurants,England,318,10,7,1,3
Dobar,London Restaurants,England,318,10,7,1,3
Dobar,London Restaurants,England,318,10,7,1,3
Dobar,London Restaurants,England,318,10,7,1,3
Benihana Chelsea,London Restaurants,England,184,177,97,47,49
Dobar,London Restaurants,England,318,10,7,1,3
Benihana Chelsea,London Restaurants,England,184,177,97,47,49
Dobar,London Restaurants,England,318,10,7,1,3
Benihana Chelsea,London Restaurants,England,184,177,97,47,49
Benihana Chelsea,London Restaurants,England,184,177,97,47,49
The Rajdoot Hampstead,London Restaurants,England,567,24,6,8,6
Benihana Chelsea,London Restaurants,England,184,177,97,47,49
Benihana Chelsea,London Restaurants,England,184,177,97,47,49
The Rajdoot Hampstead,London Restaurants,England,567,24,6,8,6
Benihana Chelsea,London Restaurants,England,184,177,97,47,49
The Rajdoot Hampstead,London Restaurants,England,567,24,6,8,6
The Rajdoot Hampstead,London Restaurants,England,567,24,6,8,6
The Rajdoot Hampstead,London Restaurants,England,567,24,6,8,6
The Rajdoot Hampstead,London Restaurants,England,567,24,6,8,6
Awesome Thai #Finchley,London Restaurants,England,79,4,0,0,0
The Rajdoot Hampstead,London Restaurants,England,567,24,6,8,6
Awesome Thai #Finchley,London Restaurants,England,79,4,0,0,0
Awesome Thai #Finchley,London Restaurants,England,79,4,0,0,0
Awesome Thai #Finchley,London Restaurants,England,79,4,0,0,0
Awesome Thai #Finchley,London Restaurants,England,79,4,0,0,0
Eastern Eye Balti House,London Restaurants,England,705,101,39,37,42
Eastern Eye Balti House,London Restaurants,England,705,101,39,37,42
Awesome Thai #Finchley,London Restaurants,England,79,4,0,0,0
Eastern Eye Balti House,London Restaurants,England,705,101,39,37,42
Eastern Eye Balti House,London Restaurants,England,705,101,39,37,42
Eastern Eye Balti House,London Restaurants,England,705,101,39,37,42
Paladar,London Restaurants,England,650,45,25,13,2
Eastern Eye Balti House,London Restaurants,England,705,101,39,37,42
Paladar,London Restaurants,England,650,45,25,13,2
Paladar,London Restaurants,England,650,45,25,13,2
