Rest. Name,review
Indian Room,"I’ve been here twice now in the past week. Both times I’ve been welcomed with exceptional service and loved my food and drinks. Would highly recommend!
The waiter, Nur, was one of warmest waiters I’ve ever been served by. Thank you!
"
Indian Room,"This is the best Indian restaurant I have been to and I have been to quite a few across the UK and abroad.  The food was excellent, the service was too.  Good value at £35 per couple with drinks.    Cannot recommend highly enough!
"
Indian Room,"The food was amazing and the service was exceptional, I felt very looked after. The covid measures (temperature check, hand sanitiser) made me feel safe. The restaurant has a lovely intimate decor, I highly recommend!
"
Indian Room,"The restaurant is very well run and managed. The food was well paced and the mains followed the starter at a good pace. All the dishes were extremely tasty and well cooked. Service was friendly but not overbearing. A wonderful visit.
"
Indian Room,"The food was exceptional, very authentic, and well priced. Never for a second felt unsafe, safety measures were being followed excellently and the floor staff was super attentive to our needs. Would definitely come back again for more!!
"
Indian Room,"Great service Nur was a great host for the evening he really made us feel welcome and kept sure we were happy with everything. Food was brilliant as well, but honestly the service was really lovely. Felt really at home.
"
Indian Room,"Amazing Indian dinner! Asked for a vegetarian tika masala which the chef happily made with no hesitation! Staff was very friendly and the service was perfect timing, between the starters and mains. Will defiantly be coming back. Extremely tasty food! :)
"
Indian Room,"Went there last night and can highly recommend this place. The food was first class and our waiter Ruhel was super too. I love Indian food and have been to many Indian restaurants I can honestly say the Indian Room rates as one of the...
"
Indian Room,"Wow! What an amazing curry and even better staff. Cannot recommend this place enough. Food was so tasty and the service was fast but always with a smile. Big shout out to Shah who was always ready to serve us and made sure we felt...
"
Indian Room,"This is a 5* restaurant all round. The food is incredible and a cut above the rest - not only are the flavour out of this world but the presentation is amazing. 
We went there on a very sunny, warm evening and the atmosphere outside...
"
Indian Room,"My wife and I went to visit my Daughter in London for the first time and chose this restaurant for a Friday night meal. The food was very tasty and reasonably priced and the ambiance was very nice.
Our waitress Farah was very knowledgeable,professional and...
"
Indian Room,"Visited Indian Room in Balham for the first time this evening and I can’t wait to go back. The food was exemplary and the friendly service was exceptional. Will definitely return. I recommend the prawn starter, and the home made onion bhajis
"
Indian Room,"We’ve been living in London for 18 months now and this is the best Indian we’ve had in the city so far! Really fantastic service and the food is so fresh. Lovely outdoor seating. Would definitely recommend!
"
Indian Room,"She made sure we were attended to all night and is a great waitress. She made conversation with us and we felt like we were so welcomed into the restaurant. She definitely deserves some extra praise! The food and customer service was great. The decor...
"
Indian Room,"I hear a lot of talk about Dishoom, Gymkhana and Tayyab's, but Indian Room is the only place I would ever consider Michelin Star for Indian food. Possibly THE best Indian food outside of my mum's kitchen and outside of India. I always recommend it...
"
Nora Cafe,"we come here to eat every single time we stay in London, the food and staff are absolutely lovely!!!
"
Nora Cafe,"As other reviewers say,the food is great but what sets it apart are the people.We were in the area to visit a rather grand Michelin starred restaurant nearby and enjoyed visiting here much more.Just to share some of life’s experiences with the staff here,was life...
"
Nora Cafe,"What a nice place to meet and eat!
The service was seamless and the food even better
I would seriously recommend this Cafe
Enjoy!
"
Nora Cafe,"Thank you very much for leaving us such a nice review. Glad you enjoyed the food and service. Hope to see you here again soon! ♨️
"
Nora Cafe,"I’ve become a regular at Nora’s this year as I quickly came to appreciate the food and the warm welcome :)
"
Nora Cafe,"Very good breakfast and desserts (that’s what I tried, but I do plan to come back and try more 😉). Good music and great service. You have to try the carrot cake!
"
Nora Cafe,"Food was amazing ! Staff is lovely. Strongly recommend. We found it while strolling round and it was a great experience.
"
Nora Cafe,"Small , clean, cute and friendly, lots kind of meal, i love this small family cafe, you have to go and taste the foods 💐💗💗
"
Nora Cafe,"Went there yesterday and it was amazing! The service was impeccable and the food was to die for! Definitely recommend.
"
Nora Cafe,"Huge Brkfst and tasty yuummmy. Very Nice staff :) Thank u for smile :) comfy place and clean
i like it! I will recomend this place to everyone.
"
Nora Cafe,"I visited on Sunday with a friend.It was good place.Good Turkish people they were very friendly.Food was great.Tesekkur Ederis
"
Nora Cafe,"Warm and Friendly, A Great Caff
Traditional English and amazing Mediterranean Turkish food.

Lovely staff
"
Nora Cafe,"I love this place. Great value for money, fantastic service and the food is always delicious. A must visit if you’re in Shoreditch!
"
Nora Cafe,"Came for lunch with a friend and had a lovely falafel wrap! Really affordable and the staff are nice
"
Nora Cafe,"very friendly staff with fantastic food as well to go with it. Great Variety of food with amazing quality. 

We all visit on a weekly basis because of it.
"
Nora Cafe,"Fantastic food, fanstastic food and with friendly staff. I would suggest the omlettes with chips and salad
"
Vine Bar London,"We only found this place by mistake the day before the last lockdown. Shamefully taken us 8 months to go back. The service, atmosphere and food is fantastic with the waiters being some of the friendliest in London. 

We got served by Michael on his...
"
Vine Bar London,"I've been here with my girlfriend quite a few times and every single time we are treated like royalty. The food is great, there is a wonderful selection of wines, but the staff is what really makes the place special. The assistant manager Irena is...
"
Vine Bar London,"We visited when we were only allowed to be outside in April and it was obviously a little bit cold and windy which is something the restaurant couldn't help. They provided us with shiny golden blankets that kept us super warm.

We were served by...
"
Vine Bar London,"Hi Jamie B, 

A huge thank you from the whole Vine Bar London team for your kind words. And another huge thank you for bearing with the weather. Please visit us again soon come rain or shine (shine being preferable of course!). 

All the best,...
"
Vine Bar London,"Whenever I'm in the area, I'm always welcomed by exceptional host of Vine Bar- Irena. 
Her worm yet very professional attitude makes their already excellent coffee taste even better :). Great people = great place.
"
Vine Bar London,"Dear Marzena,

Thank you so much for this 5-star review. 

We really appreciate you being a customer and helping to share the word about us. 

We’re here for you anytime.

Best regards,
Vine Bar Team
"
Vine Bar London,"So, myself and a friend arrived in Vauxhall post meeting and were looking for  a place to eat and chat. Walked past Vine bar where a lady was singing happy birthday to a customer. I joined in and when finished, thought i liked the look...
"
Vine Bar London,"Vine Bar is so much more than it appears. 

You get great ambiance, live (quiet guitar) music, friendly service and an interesting Italian menu. The wine list is short but ask Roberto about his cellar and the options open up. 

From the tiny kitchen Christina...
"
Vine Bar London,"Great coffee. And I mean great, even down to the Illy collector cups. Lovely ambience. Small but fine wine list. Pasta and gnocchi cooked by experts. Friendly personal service. Roberto is an expert Italian sommelier, chef and maitre d’. Irena is a joy. Make sure...
"
Vine Bar London,"Dear Paul,

Thanks so much for giving us your take on how we are doing. 

We're glad that customers like you are having a great experience at Vine Bar.

Best regards,
Vine Bar Team
"
Vine Bar London,"The food was amazing and the service was great. Everyone was so friendly and brought the food right away. The portions of food were perfect and filled you up. The ambient was nice and they were playing great music. Would recommend to anyone as they...
"
Vine Bar London,"Dear Stella,

On behalf us all of us at Vine Bar, I would like to thank you for sharing this great review about our Restaurant! We are thrilled that you enjoyed your experience.

King regards,
Vune Bar Team
"
Vine Bar London,"My daughter and I enjoyed an excellent early evening meal at The Vine Bar. The service was friendly and prompt and the food was fresh and delicious. It was quiet when we visited but still a nice atmosphere. Recommend the tiramisu!
"
Vine Bar London,"The worse Italian food ever had in London.  it's a shame was an important gathering for us to celebrate. we trust Google review that s how we discovered this place .this is the reason why I am bothering myself and writing this review. 
Awful service...
"
Vine Bar London,"We are sorry to hear about your bad experience. Would you be able to provide us with a few more details, such as the date and time of your visit so we can investigate the issue further? 

All the best, 

VBL Team
"
Vine Bar London,"Absolutely phenomenal hidden gem in Vauxhall. The service is exquisite, food out of this world and selection of wine incredible. Staff extremely knowledgable and caring. Cant recommend enough, have been a couple of times now and is now my go to place to bring any...
"
Vine Bar London,"So enjoyed our evening at this delightful little restaurant tucked away in St George Wharf. Superb food and wonderful staff, added bonus of live music as well. Will definitely be back soon.
"
Vine Bar London,"Love it here. Found it by accident walking down towards Vauxhall tube station, absolutely love it. The guys couldn't be nicer, really looked after us. 100% going back, can't wait for the summer!
"
Vine Bar London,"Hi Londonlife, 

thank you so much for taking the time to provide feedback. 

We are so delighted that you rate our service as 5 star as we strive to provide just that for all our customers.

We Look forward to seeing you again soon. 

Best...
"
Vine Bar London,"What a lovely evening we spent here. An excellent meal and the service was superb. Will was our host and he was charming and a delight to get to know. We will definitely be returning when we are next spending a few days in London...
"
Vine Bar London,"Service was amazing my Irene she was so lovely and took care of us all night. So enthusiastic one of the best waitresses we have ever had. Wine was divine and good value, Will definitely be going back!
"
Vine Bar London,"Thank you so much for your kind review. We greatly look forward to having you with us again soon. 

All the best, 

VBL Team
"
Indian Room,"Tried this place for takeaway and it did not disappoint. Then we went to dine in - WOW an amazing  experience! We had the chicken jalfrezi and the lamb kahari, it was the best lamb curry I’ve ever had.  

The restaurant has great service and...
"
Indian Room,"It is so great that the restaurant is open again. Have enjoyed the takeaways but nothing can replace the whole dining experience and delicious food served at your table. Friendly, non intrusive but attentive service. Such a wide variety of food and not phased by...
"
Indian Room,"Absolutely beautiful restaurant with wonderful service. The food was fantastic and it was so clear that the food was fresh and delicately prepared. The best Indian I have had and you will not be disappointed if you choose this restaurant. The staff were even so...
"
Indian Room,"Little restaurant outside London City Center with a really romantic atmosphere. It has a wide choice of Indian proposals with or without meat. Don't go away without tasting the delicious coconut naan! But be careful, some dishes are really HOT! If you are not used...
"
Indian Room,"We were a group of 8, all 60+, and we had a fabulous evening here. The staff are excellent, friendly and attentive. We had a number of dishes, all fresh and beautifully spiced. Affordable prices worth every penny. Our group visits a different 'curry' house...
"
Indian Room,"During the corona virus pandemic we were looking for local businesses to support. Read a review on here about Indian Room so decided to try on Saturday night. The range of inventive veggie options was impressive even during current circumstances....there was so much to choose...
"
Indian Room,"Simply top class Indian food and great service. This is some of the best I’ve eaten in the world. Every time I come the food is consistent, made from high quality ingredients and is authentic, bursting with flavor. Whichever part of India you prefer the...
"
Indian Room,"We dined here, the service was good. All the food could of been a lot hotter and portions we small. However the thing that really ruined our night was the fact we were packed in that place like sardines! practically sat on the table next...
"
Indian Room,"Booked a last minute table to take full advantage of the 50% off food. We were very impressed with the food, the service and the ambiance of the restaurant! Had the Pannier Korma - deliciously creamy and rich - pannier would have been improved slightly...
"
Indian Room,"Excellent dining out for a Tuesday, it felt like a Friday. The place was very busy and the ambiance was great. We had the veggie starter to share and a mix of mains both veggie and meat. It was very tasty food, fresh and not...
"
Indian Room,"Had the most amazing time. THE best Indian food I’ve had since arriving to the UK. We live next door and always wanted to try this. We were FINALLY able to book and we were not disappointed. My favourite dish was the vindaloo (SO SPICY...
"
Indian Room,"Don’t miss the Indian Room Balham. Fabulous restaurant, warm atmosphere, particularly notable is the grill menu, especially the Tikka Paneer and Lamb Chops. If you go midweek, there’s also a special. Five stars from Australia!
"
Indian Room,"The food was amazing, we ordered a lot of smaller dishes to share. The Onion bhajis and paneer dish were a firm favourite.I can not recommend the restaurant enough. The staff are also so friendly and went out of their way to make you feel...
"
Indian Room,"We had an amazing Indian dinner here and Rinku was absolutely outstanding! The food was 10/10 authentic and the service was really nice as well. 
Started off with papads, papdi chaar and then moved on to butter chicken, naan and rice. Ended with some Gulab...
"
Indian Room,"Visited with some friends. Got starters and mains, all the food was super tasty, highly recommend the lamb chops and rogan josh. 
R. Ali was our waiter, he was super attentive and friendly. 
We will definitely return.
"
Vine Bar London,"The single reason for my continued support to this amazing establishment is no small part to the fantastic service and standard of coffee and food. Irena is a great asset to the shop, her friendly and commercially minded nature really is something to be appreciated,...
"
Vine Bar London,"With its superior Italian food, warm hospitality, and delightful atmosphere, Vine Bar London is our ""go-to"" restaurant. You are guaranteed a warm welcome when you walk in. The Italian proprietor, Roberto, and his staff, set a gracious tone to make sure all guests feel comfortable....
"
Vine Bar London,"I and my husband's family have visited this lovely restaurant and it was absolutely great experience for us. The food was amazing if you are looking for real Italian pasta you should visit there. The service by Mike was fantastic and we had such a...
"
Vine Bar London,"As avid fans of Graham Nash (on the road 2019) We were recommended this venue and decided to detour a cerebral soho evening for a dinner here in vibrant Vauxhall instead. Unlike Vauxhall’s, this restaurant is NOT a middle of the road family estate made...
"
Vine Bar London,"Wow Mr and Mrs Osman Peach! 

It sounds like you had a good time with us. 

Thanks for taking the time to share your feedback with us. It means so much when our best customers share their experiences. We are glad we were able to...
"
Vine Bar London,"I went to Vine Bar for the first time yesterday and both my partner and I were extremely impressed. The atmosphere was lovely. Great customer care. Waitress was really attentive to our needs. Food was mind blowing. We had the Vine Bar Platter with delicious...
"
Vine Bar London,"Hello!

Thank you so much for your words. We pride ourselves on our food and customer service so it means a huge amount to hear you say such kind things. Please visit us again soon!

All the best, 

VBL team
"
Vine Bar London,"This was the first time that we had dined out since lockdown in London.
The food was great and is cooked from freshly sourced ingredients.
The restaurant has an open kitchen which was visible from our table, which we always love.
The service was attentive...
"
Vine Bar London,"Dear Dominic,
Thank you so much for this 5-star review. We really appreciate you being a customer and helping to share the word about us. We’re here for you anytime.
Regards,
Vine Bar Team
"
Vine Bar London,"Amazing service from the moment we walked in. Food and wine were fantastic. The pasta was fresh, lots of veggie options and the staff really knew their wine. Great background music, we didn’t want to leave.
"
Vine Bar London,"Hello Nats, Thank you for the wonderful review and for taking the time to share your feedback with Vine Bar. Our priority is customer service and we are ecstatic that we met that mark!
"
Vine Bar London,"This restaurant is a must visit if you are in the area and you like Italian food. The server and chef were so welcoming, friendly and efficient. 

I had the meatballs with gnocchi, which should be labelled a little slice of heaven. Taste sensation. 

My...
"
Vine Bar London,"After a 26 mile sponsor walk for Alzeihmers we were lucky to find this wonderful little Italian restaurant in Vauxhall.
Luckily we had not managed to get into any of the three river side bars otherwise we would have truly missed out not coming here...
"
Vine Bar London,"Hi Gary, 

Thank you so much for your kind words. It was an absolute pleasure to have you with us and we hope to see you again soon. Also, well done for completing the sponsored walk for such a worthy cause.

Sincerely, 

VBL Team
"
Vine Bar London,"We visited Vine Bar for a dinner with friends. The staff is absolutely helpful and goes above and beyond to create the best experience for their customers.
Food and wine list is also great, loved the truffle ravioli!
Gluten free pasta alternative available
"
Vine Bar London,"Thank you! Your words mean so much to us, particularly after such a trying time. We strive to give our guests the best experience possible and do all we can to accommodate them. It is people like you who keep us going and we greatly...
"
Vine Bar London,"We visited the Vine Bar on Friday 26th March and it was like finding an oasis during the lockdown. Irena was like a ray of sunshine and made us feel welcome all through our visit. We order take away and she brought us little treats...
"
Vine Bar London,"Wow! Thank you so much! We try to make every moment of our guest's experience a pleasure, whether waiting for takeaways amid a pandemic or dining at a table in more certain times. Thank you for your support and we look forward to seeing you...
"
Vine Bar London,"I lived in the neighbourhood, and though would give it a go the other day- it was really really good, I recommend everyone come to have a taste for it.

I also want to highlight the good service I received from Irena, who has been...
"
Vine Bar London,"Hi, 

Thank you so much for your kind words. Please do come and join us again soon. 

All the best, 

VBL team
"
Vine Bar London,"All the staff provided excellent service, but definitely Irena is the shiny star. As a local coming  for coffee she always served us with a smile and offered good Italian food. I often see plenty of people dining there  listening to good music and having...
"
Vine Bar London,"Everything about my evening here with my family has been just wonderful. The comfy atmosphere of nice music and decor is very welcoming. Irena  Mike Dariusz and Roberto and Tyshaun are just wonderful.

They all made such an effort for my family and I to...
"
Vine Bar London,"Had a lovely romantic meal with my wife here. The staff were incredibly accomodating and professional. We sat outside in their outdoor seating area and they even gave us blankets to keep our knees warm! Wine was lush as was the pasta.  Top quality produce...
"
Vine Bar London,"The food was simply divine. I was sad when I looked down to see that I had nearly finished. The food was authentic and amazingly fresh. I will most definitely be returning to try more dishes. Amazing service and amazing food.
"
Vine Bar London,"Hi, 

Thank you so much for your simply divine review. We take great pride in our food and service and it means so much to us that you enjoyed it. There is always more where that came from! We look forward to seeing you soon!...
"
Vine Bar London,"I read the reviews oft his little place and decided, since it was close-ish to my hotel, to check it out. It's a quaint and cozy little wine bar with an authentic Italian atmosphere. You feel like you're walking into someone's home (in a good...way). The staff was incredibly friendly and took great care of me - and the food was top notch (I've been to Italy several times so feel I can make a fair comparison). I had the bread and olive oil with balsamic, the gnocci white (gorgonzola and mushrooms), and the most delicious panna cotta with a subtle basil flavor, plus a glass of Pinot Grigio. Mike, the manager, was really friendly and I promptly came back to my hotel to write this review. I'll definitely visit the Vine Bar again on my next trip to London and I highly recommend you enjoy it on your visit as well. I do recommend making reservations.
"
Vine Bar London,"Went to meet old friends we hadn’t see in a long while. This was the perfect venue. Small and intimate with incredibly caring staff we were made to feel immediately at home. The food was lovely and it was nice to meet the cook and...compliment her and her companion in the kitchen in person. The sommelier really knows his stuff and takes the time to think about how the wine will enhance menu choices. The waitress always made sure we were catered for and her approach definitely helped the evening flow. We never had to catch her eye as she was there anticipating our needs. The icing on the cake was the beautiful live music which I believe is on every Thursday to Saturday. It’s a lovely setting, a little bit of Italy in heart of Nine Elms.
"
Vine Bar London,"Found and booked this based on reviews on TA and luckily managed to get in last minute for Saturday evening 

Pleasantly surprised when we arrived to find a small, personal little restaurant. Sat outside and chose our dishes from the small but very authentic menu...All the items were explained well by the owner Roberto who took the time throughout the 3hrs we spent there checking with us to see how things were and chatting about the food, wine, history of the dishes etc. 

Well cooked and well presented, good Italian wines to choose from and we had a really lovely evening. Our advice to him is to seriously consider opening one in Jersey as it would be very popular using the same formula. 

Thank you once again. We will be back when over in London for sure 

Oh and please; if you expect pizzas then go to pizza express!
"
Vine Bar London,"My friend and I were just wanting a quick bite, we weren’t dressed for anything fancy and we came across this little gem. So pleased we found it. We felt like family on entering and we loved that every single staff member came over and...introduced themselves. We really felt like part of the team. They walked us through the full menu and when the food arrived they also told us where it came from. This place went above and beyond my expectations. If I wasn’t from Newcastle, id be here every day. A very friendly, warm atmosphere. You NEED to visit ❤️
"
Vine Bar London,"If you’re looking for a happy day,happy people and a happy eating without leaving London, check out this  authentic Italian food in London, as chosen by an Italian – you can’t get much more authentic than that- the best Italian restaurant in London. 
Buon appetito!...‘Vine Bar London’
I came in on a sad gloomy unhappy day hungry and tired and Viola! It was like magic my mood changed 360 degrees in minutes! Hidden behind the busy streets, next to the beautiful Saint Georges wharf,stepping into here felt like stepping back into to a bygone era of Italian glamour, vanilla candles melted on small wooden  tables, pop art fusion furnishings, low lighting and charming servers. I met “Irena” my beautiful server, and u see her doing absolute justice to her job. Shes absolute love! The ambience is lovely makes u go to the streets of italy!  While the staff makes u feel alive happy,It’s elegant without being ostentatious, and the wooden stools comforting small tables low glass window booths add an important touch of cosiness. The glamorous central bar is irresistible for a classic Italian meal.  I suggest before the mains start with generous shavings of black truffle and surprisingly good burrata bites served on a bed of radicchio with balsamic vinegar. Have the Della mamma the freshly made gnocchi, or the Pesce all’acqua pazza, with a side of the fresh creamy burrata served with truffle bruschetta and spiced olives! Foodgasm!!! 
Customised meals made fresh on-site in an open kitchen ( you may see them dancing and singing while preparing your meal making you light laugh and lively) it’s impossible to resist in its various incarnations on the menu. The highlight is the pesto gnocchi and the house made ravioli. You’ll find some more unusual pasta dishes on the menu too which are well worth a gander – its  a real run for your money. A very special restaurant – it gets 5* from me. Saint George Wharf. London SW8 

TRY: Whatever Roberto recommends – he really does know best! Heard Italians give justice to three things hospitality love and food and the ‘vine bar’ is an all in one experience! What a delight. Enjoy your journey to the little italy and give your tastebuds the ultimate experience!
"
Vine Bar London,"This place has become my absolute favourite! The hospitable staff always go above and beyond to make it the best dining experience and you can tell making the customers happy is their main priority. Food is absolutely amazing, every time I try a new dish...it just melts in my mouth. Would eat here every single day if i could! Highly recommend!
"
Vine Bar London,"We booked last minute, but the staff made accomodations for us to be slotted in. 
The restaurant is cute and charming, as are the staff. 
We ordered the Ravioli and Gnochi - portions were the perfect size and bursting with flavour. 

The highlight of our...evening was the lovely Irene! 
Irene was exploding with personality from the moment we sat down and radiated positivity throughout the entire night.
"
Vine Bar London,"Despite passing this area often this was the first time that we spotted this really exceptional restaurant/wine bar/coffee/deli.On this occasion we only stopped for a glass of wine but were bowled over with the really friendly service and the exceptional Pinot Grigio. The food menu...looked very appetising  and the deli although not fully open yet was full of goodies. Looking forward to a lunch there in the near future especially as I spotted some wonderful  Amarone on the shelf.
"
